module,metric,mean,std
EmergencyLaneScenario.node[16].nic.mac1609_4,totalBusyTime,0.078758,0.0
EmergencyLaneScenario.node[6].veinsmobility,totalTime,29.5,31.2541197284
EmergencyLaneScenario.node[1].nic.mac1609_4,TimesIntoBackoff,24.0,33.941125497
EmergencyLaneScenario.node[15].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[30].veinsmobility,stopTime,87.2,0.0
EmergencyLaneScenario.rsu[1].nic.mac1609_4,totalBusyTime,0.0,0.0
EmergencyLaneScenario.node[2].nic.mac1609_4,TimesIntoBackoff,29.5,41.71930009
EmergencyLaneScenario.node[17].veinsmobility,totalTime,18.0,0.0
EmergencyLaneScenario.node[2].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[26].nic.mac1609_4,ReceivedBroadcasts,899.0,0.0
EmergencyLaneScenario.node[25].veinsmobility,totalCO2Emission,71.4176971595,0.0
EmergencyLaneScenario.node[26].veinsmobility,stopTime,79.6,0.0
